external_gene_name	GM2091_avg	GM2092_avg	GM2093_avg	GM2094_avg	GM2095_avg	GM2096_avg	GM2097_avg	GM2100_avg	SEK00_74272_avg	SEK00_74275_avg	SEK00_74281_avg	SEK00_74286_avg	SEK00_74250_avg	SEK00_74271_avg	SEK00_74274_avg	SEK00_74290_avg
	129.481481481481	106.111111111111	106.611111111111	37.5	76.6851851851852	34.4444444444444	106.444444444444	96.6296296296296	279.648148148148	271.87037037037	125.888888888889	222.018518518519	249.037037037037	290.462962962963	331.333333333333	354.37037037037
0610005C13Rik	1	4	0	3	2	2	1	3	1	2	0	0	4	1	2	3
0610006L08Rik	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
0610009B22Rik	390	399	386	575	328	406	397	411	427	446	272	434	576	606	520	513
0610009E02Rik	65	50	53	60	31	43	43	65	15	21	19	16	26	23	15	14
0610009L18Rik	49	54	67	127	58	73	64	56	40	46	31	36	46	43	42	42
0610010K14Rik	33	22	36	14	28	17	19	35	171	148	89	123	150	223	191	163
0610012D04Rik	0	0	2	0	0	1	1	0	2	1	2	9	5	3	0	3
0610025J13Rik	3	0	3	1	2	0	3	2	4	2	2	3	7	0	6	1
0610030E20Rik	723	588	702	696	584	685	656	846	3698	3268	2396	4041	2968	3318	3252	2953
0610031O16Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0610033M10Rik	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
0610038B21Rik	7	7	3	12	5	2	4	4	6	7	1	7	5	1	1	3
0610039K10Rik	2	4	5	12	2	1	1	4	26	12	7	12	26	15	17	16
0610040B10Rik	50	85	46	163	32	55	54	47	38	44	69	62	37	34	42	39
0610040F04Rik	63	44	22	64	18	14	20	23	0	0	3	3	1	1	3	1
0610040J01Rik	83	78	100	127	81	118	98	127	4275	4126	2426	3616	6259	6563	5995	5270
0610043K17Rik	9	8	22	12	7	20	13	10	2	8	9	4	11	4	7	8
0710001A04Rik	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
1010001B22Rik	5	5	8	15	2	7	7	10	1	2	3	7	12	11	7	10
1100001I12Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1110002E22Rik	85	59	76	77	71	117	123	165	1	3	1	2	2	0	0	5
1110002J07Rik	13	18	18	14	14	18	21	21	14	8	12	6	16	14	10	13
1110002L01Rik	148	191	243	213	190	232	204	288	273	208	147	270	439	429	427	511
1110002O04Rik	2	2	2	5	2	1	1	2	0	0	0	0	0	0	0	0
1110003F10Rik	23	28	21	26	25	20	17	27	21	23	17	49	30	26	26	37
1110004F10Rik	2351	2198	1579	3006	1282	1625	1537	1615	1357	1275	1267	1434	1826	1755	1621	1593
1110006O24Rik	43	50	16	51	7	16	14	15	30	42	20	44	51	49	50	37
1110008E08Rik	0	1	3	1	5	0	1	0	0	0	0	0	0	0	0	0
1110013H19Rik	43	31	20	48	10	19	17	15	31	30	27	39	41	26	38	34
1110015O18Rik	5	2	7	4	8	11	7	6	0	0	0	0	1	0	0	1
1110017D15Rik	85	57	61	62	34	66	54	59	43	29	43	46	136	111	50	72
1110018N20Rik	195	195	137	283	127	124	118	155	5	18	3	14	16	25	14	15
1110019B22Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
1110019D14Rik	11	16	40	20	32	41	40	48	153	117	66	88	250	207	221	211
1110020A21Rik	17	22	17	22	11	14	14	20	21	19	20	26	16	19	23	20
1110025L11Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1110025M09Rik	54	51	29	71	27	27	28	27	176	159	132	212	116	168	133	127
1110028F11Rik	1	0	1	1	1	0	0	3	0	1	0	0	0	0	1	1
1110028F18Rik	0	0	0	0	0	0	0	0	0	0	4	1	0	0	0	0
1110032F04Rik	163	148	296	324	246	271	289	393	1	1	0	0	1	0	2	0
1110035H17Rik	22	16	11	28	3	9	6	12	31	23	16	33	23	27	32	25
1110038B12Rik	264	270	238	353	175	234	237	215	431	520	544	495	405	353	379	358
1110038F14Rik	349	350	369	530	373	424	399	453	657	594	560	616	844	848	819	785
1110046J04Rik	41	45	68	66	49	41	52	52	10	9	6	10	9	8	4	14
1110057P08Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1110059E24Rik	388	471	420	581	320	383	400	475	606	625	523	617	655	657	608	572
1110059G10Rik	440	448	380	589	298	369	371	361	904	938	735	1002	1166	1260	1082	998
1110060G06Rik	0	2	1	2	2	1	1	2	0	0	1	0	0	0	0	0
1110065P20Rik	855	729	820	1191	723	854	743	758	208	181	140	185	275	240	250	226
1190001M18Rik	0	1	0	1	0	0	1	2	1	7	6	5	1	1	2	1
1190005I06Rik	45	51	37	78	33	28	30	49	13	17	14	17	15	8	8	16
1190028D05Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
