external_gene_name	GM2091_avg	GM2092_avg	GM2093_avg	GM2094_avg	GM2095_avg	GM2096_avg	GM2097_avg	GM2100_avg
	129.481481481481	106.111111111111	106.611111111111	37.5	76.6851851851852	34.4444444444444	106.444444444444	96.6296296296296
0610005C13Rik	1	4	0	3	2	2	1	3
0610006L08Rik	0	0	0	1	0	0	0	0
0610009B22Rik	390	399	386	575	328	406	397	411
0610009E02Rik	65	50	53	60	31	43	43	65
0610009L18Rik	49	54	67	127	58	73	64	56
0610010K14Rik	33	22	36	14	28	17	19	35
0610012D04Rik	0	0	2	0	0	1	1	0
0610025J13Rik	3	0	3	1	2	0	3	2
0610030E20Rik	723	588	702	696	584	685	656	846
0610031O16Rik	0	0	0	0	0	0	0	0
0610033M10Rik	0	0	0	0	1	0	1	0
0610038B21Rik	7	7	3	12	5	2	4	4
0610039K10Rik	2	4	5	12	2	1	1	4
0610040B10Rik	50	85	46	163	32	55	54	47
0610040F04Rik	63	44	22	64	18	14	20	23
0610040J01Rik	83	78	100	127	81	118	98	127
0610043K17Rik	9	8	22	12	7	20	13	10
0710001A04Rik	0	0	0	0	0	0	0	0
1010001B22Rik	5	5	8	15	2	7	7	10
1100001I12Rik	0	0	0	0	0	0	0	0
1110002E22Rik	85	59	76	77	71	117	123	165
1110002J07Rik	13	18	18	14	14	18	21	21
1110002L01Rik	148	191	243	213	190	232	204	288
1110002O04Rik	2	2	2	5	2	1	1	2
1110003F10Rik	23	28	21	26	25	20	17	27
1110004F10Rik	2351	2198	1579	3006	1282	1625	1537	1615
1110006O24Rik	43	50	16	51	7	16	14	15
1110008E08Rik	0	1	3	1	5	0	1	0
1110013H19Rik	43	31	20	48	10	19	17	15
1110015O18Rik	5	2	7	4	8	11	7	6
1110017D15Rik	85	57	61	62	34	66	54	59
1110018N20Rik	195	195	137	283	127	124	118	155
1110019B22Rik	0	0	0	0	0	0	0	0
1110019D14Rik	11	16	40	20	32	41	40	48
1110020A21Rik	17	22	17	22	11	14	14	20
1110025L11Rik	0	0	0	0	0	0	0	0
1110025M09Rik	54	51	29	71	27	27	28	27
1110028F11Rik	1	0	1	1	1	0	0	3
1110028F18Rik	0	0	0	0	0	0	0	0
1110032F04Rik	163	148	296	324	246	271	289	393
1110035H17Rik	22	16	11	28	3	9	6	12
1110038B12Rik	264	270	238	353	175	234	237	215
1110038F14Rik	349	350	369	530	373	424	399	453
1110046J04Rik	41	45	68	66	49	41	52	52
1110057P08Rik	0	0	0	0	0	0	0	0
1110059E24Rik	388	471	420	581	320	383	400	475
1110059G10Rik	440	448	380	589	298	369	371	361
1110060G06Rik	0	2	1	2	2	1	1	2
1110065P20Rik	855	729	820	1191	723	854	743	758
1190001M18Rik	0	1	0	1	0	0	1	2
1190005I06Rik	45	51	37	78	33	28	30	49
1190028D05Rik	0	0	0	0	0	0	0	0
1200007C13Rik	7	3	0	6	0	1	0	0
1300002E11Rik	92	120	172	142	185	183	191	225
1300014J16Rik	18	9	23	22	22	22	21	16
1500002C15Rik	11	33	30	43	28	29	24	36
1500002F19Rik	31	32	14	31	11	10	15	20
1500004A13Rik	905	900	973	1146	858	932	880	1133
1500005C15Rik	0	1	5	0	5	4	6	2
1500009L16Rik	266	284	313	308	264	310	257	311
1500011B03Rik	2771	2398	2067	3326	1820	2136	2029	2280
1500012K07Rik	3	5	9	3	2	4	5	10
1500015A07Rik	241	336	170	506	123	153	143	148
1500015L24Rik	11	14	24	7	16	25	26	36
1500026H17Rik	94	87	49	119	41	49	56	60
1500032F14Rik	2	1	3	4	7	2	3	5
1500035N22Rik	8	5	5	3	2	9	7	6
1600002D24Rik	1	2	0	2	1	0	1	1
1600010M07Rik	1	2	5	5	0	0	4	4
1600012H06Rik	471	448	440	603	393	495	457	499
1600012P17Rik	0	0	0	0	0	0	0	0
1600014C10Rik	701	740	824	871	723	854	837	949
1600014C23Rik	0	2	1	0	0	1	1	4
1600017P15Rik	2	0	3	3	5	3	1	4
1600019K03Rik	0	0	0	0	0	0	0	0
1600020E01Rik	375	272	208	375	196	205	213	257
1600022D10Rik	0	0	2	2	0	2	2	1
1600023N17Rik	16	8	14	19	9	12	15	18
1600025M17Rik	0	0	0	0	0	0	0	0
1600027J07Rik	0	0	0	1	0	0	0	0
1600029O15Rik	74	52	118	64	71	91	91	97
1700001C19Rik	4	8	4	12	0	3	2	2
1700001D01Rik	0	1	0	1	0	0	0	0
1700001F09Rik	0	0	0	0	0	0	0	0
1700001G01Rik	0	0	1	0	0	0	0	0
1700001G11Rik	7	6	8	13	6	11	8	9
1700001G17Rik	8	8	7	21	11	9	7	15
1700001J03Rik	16	11	1	12	4	4	4	1
1700001J04Rik	0	0	0	0	0	0	0	0
1700001J11Rik	0	0	0	0	0	0	0	0
1700001K19Rik	0	0	0	1	0	0	0	0
1700001K23Rik	0	1	1	0	0	1	0	0
1700001L05Rik	202	305	182	371	214	282	211	201
1700001N15Rik	0	0	0	0	0	0	0	1
1700001O22Rik	109	104	87	200	82	92	117	127
1700001P01Rik	12	6	10	4	6	5	5	6
1700003C15Rik	0	0	0	0	0	0	0	0
1700003D09Rik	8	7	2	17	1	1	1	5
1700003E16Rik	286	238	613	332	542	617	554	641
1700003E24Rik	0	0	0	0	0	0	0	0
1700003F12Rik	7	12	6	14	7	5	6	13
1700003G18Rik	1	0	1	1	0	0	2	0
1700003H04Rik	0	0	0	0	0	0	0	0
1700003I16Rik	1	0	0	0	0	0	0	1
1700003I22Rik	0	0	0	0	0	0	0	0
1700003L19Rik	0	1	3	1	0	5	1	4
1700003M07Rik	69	79	124	116	115	126	134	129
1700003N22Rik	0	0	0	0	2	1	0	0
1700003O11Rik	0	0	0	0	0	0	0	0
1700003P14Rik	0	0	0	0	0	0	0	0
1700006A11Rik	0	0	0	0	0	0	0	0
1700006F04Rik	1	0	1	1	2	1	0	0
1700006H21Rik	0	0	0	0	0	1	0	0
1700006J14Rik	0	0	0	0	0	0	0	1
1700006P03Rik	0	0	0	0	0	0	0	0
1700007E05Rik	5	7	3	4	6	6	2	1
1700007F19Rik	1	1	2	4	2	0	1	1
1700007H22Rik	0	0	0	0	0	0	0	0
1700007J10Rik	0	0	0	2	0	0	0	1
1700007L15Rik	8	5	16	18	3	6	9	4
1700007M16Rik	0	0	0	0	0	0	0	0
1700007P06Rik	2	1	2	2	3	1	5	6
1700008A23Rik	3	3	3	5	5	1	3	1
1700008B11Rik	1	1	0	0	0	0	0	0
1700008C04Rik	0	0	0	0	0	0	0	0
1700008H02Rik	0	0	0	0	0	0	0	0
1700008J07Rik	60	72	81	126	64	60	66	81
1700008K24Rik	0	0	0	0	0	0	0	0
1700008N11Rik	1	0	2	1	1	0	0	0
1700008O03Rik	66	53	54	78	34	44	48	40
1700008P02Rik	0	0	0	0	0	0	0	0
1700009C05Rik	1	1	1	2	1	4	0	2
1700009J07Rik	0	1	0	0	2	1	2	0
1700009N14Rik	0	0	0	0	0	0	0	0
1700010B08Rik	0	0	0	0	0	0	0	0
1700010B13Rik	0	1	2	2	2	0	0	1
1700010D01Rik	0	0	0	0	0	0	0	0
1700010G06Rik	0	0	0	1	1	0	0	0
1700010H22Rik	1	0	0	0	0	0	0	0
1700010I02Rik	0	0	0	0	0	0	0	0
1700010I14Rik	29	63	50	47	24	37	35	33
1700010J16Rik	0	0	0	0	0	0	0	0
1700010K23Rik	1	3	2	5	2	1	0	6
1700010K24Rik	0	1	3	0	1	0	2	1
1700010L04Rik	0	0	0	0	0	0	0	0
1700010N08Rik	0	0	0	0	0	0	0	0
1700011B04Rik	0	0	0	0	0	0	0	0
1700011C11Rik	0	0	0	0	0	0	0	0
1700011D18Rik	2	3	3	3	2	3	1	2
1700011L03Rik	0	0	0	1	0	0	0	0
1700011L22Rik	5	1	0	7	0	0	0	0
1700011M02Rik	0	0	0	0	0	0	0	0
1700012A03Rik	0	0	0	1	0	0	0	0
1700012B07Rik	0	0	0	0	1	0	0	0
1700012B09Rik	2	9	16	5	3	10	13	13
1700012C08Rik	0	0	0	0	0	0	0	0
1700012C14Rik	0	3	1	3	1	2	0	2
1700012D16Rik	0	0	0	0	0	1	0	1
1700012E03Rik	1	1	0	1	1	0	0	0
1700012I11Rik	0	0	1	1	0	0	0	0
1700012J15Rik	0	0	0	0	0	0	0	0
1700012J22Rik	0	0	0	0	0	0	0	0
1700013A02Rik	0	0	0	0	0	0	0	0
1700013D24Rik	0	0	0	0	0	0	0	0
1700013G24Rik	0	0	0	0	0	0	1	0
1700013H16Rik	0	0	0	0	0	0	0	0
1700013M08Rik	0	0	0	0	1	0	0	0
1700013N06Rik	0	0	0	0	0	0	0	0
1700014B07Rik	0	1	0	1	2	0	1	0
1700014D04Rik	9	19	7	17	10	11	5	19
1700014F14Rik	0	0	0	0	0	0	0	0
1700014L14Rik	0	0	0	1	0	0	0	0
1700015C15Rik	0	0	0	1	1	2	1	0
1700015C17Rik	1	0	0	0	0	0	0	1
1700015G11Rik	0	0	0	0	0	0	0	0
1700015H07Rik	0	0	0	0	0	0	0	0
1700015I17Rik	2	1	0	2	0	0	1	0
1700015O11Rik	0	1	0	0	0	0	0	1
1700016A09Rik	26	24	32	36	23	15	16	31
1700016B01Rik	0	0	0	0	0	0	0	0
1700016B15Rik	0	0	0	0	0	0	0	0
1700016C15Rik	3	0	1	0	0	0	2	0
1700016D08Rik	0	0	0	0	0	0	0	0
