external_gene_name	SEK00_74272_avg	SEK00_74275_avg	SEK00_74281_avg	SEK00_74286_avg	SEK00_74250_avg	SEK00_74271_avg	SEK00_74274_avg	SEK00_74290_avg
	279.648148148148	271.87037037037	125.888888888889	222.018518518519	249.037037037037	290.462962962963	331.333333333333	354.37037037037
0610005C13Rik	1	2	0	0	4	1	2	3
0610006L08Rik	0	0	0	0	0	0	0	0
0610009B22Rik	427	446	272	434	576	606	520	513
0610009E02Rik	15	21	19	16	26	23	15	14
0610009L18Rik	40	46	31	36	46	43	42	42
0610010K14Rik	171	148	89	123	150	223	191	163
0610012D04Rik	2	1	2	9	5	3	0	3
0610025J13Rik	4	2	2	3	7	0	6	1
0610030E20Rik	3698	3268	2396	4041	2968	3318	3252	2953
0610031O16Rik	0	0	0	0	0	0	0	0
0610033M10Rik	0	0	0	0	0	0	0	0
0610038B21Rik	6	7	1	7	5	1	1	3
0610039K10Rik	26	12	7	12	26	15	17	16
0610040B10Rik	38	44	69	62	37	34	42	39
0610040F04Rik	0	0	3	3	1	1	3	1
0610040J01Rik	4275	4126	2426	3616	6259	6563	5995	5270
0610043K17Rik	2	8	9	4	11	4	7	8
0710001A04Rik	0	0	0	1	0	0	0	0
1010001B22Rik	1	2	3	7	12	11	7	10
1100001I12Rik	0	0	0	0	0	0	0	0
1110002E22Rik	1	3	1	2	2	0	0	5
1110002J07Rik	14	8	12	6	16	14	10	13
1110002L01Rik	273	208	147	270	439	429	427	511
1110002O04Rik	0	0	0	0	0	0	0	0
1110003F10Rik	21	23	17	49	30	26	26	37
1110004F10Rik	1357	1275	1267	1434	1826	1755	1621	1593
1110006O24Rik	30	42	20	44	51	49	50	37
1110008E08Rik	0	0	0	0	0	0	0	0
1110013H19Rik	31	30	27	39	41	26	38	34
1110015O18Rik	0	0	0	0	1	0	0	1
1110017D15Rik	43	29	43	46	136	111	50	72
1110018N20Rik	5	18	3	14	16	25	14	15
1110019B22Rik	0	0	0	0	0	0	1	0
1110019D14Rik	153	117	66	88	250	207	221	211
1110020A21Rik	21	19	20	26	16	19	23	20
1110025L11Rik	0	0	0	0	0	0	0	0
1110025M09Rik	176	159	132	212	116	168	133	127
1110028F11Rik	0	1	0	0	0	0	1	1
1110028F18Rik	0	0	4	1	0	0	0	0
1110032F04Rik	1	1	0	0	1	0	2	0
1110035H17Rik	31	23	16	33	23	27	32	25
1110038B12Rik	431	520	544	495	405	353	379	358
1110038F14Rik	657	594	560	616	844	848	819	785
1110046J04Rik	10	9	6	10	9	8	4	14
1110057P08Rik	0	0	0	0	0	0	0	0
1110059E24Rik	606	625	523	617	655	657	608	572
