"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"0610005C13Rik",1.80421204406143,-0.163260400405942,0.34832069510395,0.259945258169457,0.42907270592325
"0610006L08Rik",0.0570198267268947,0.0123090226424616,0.338163593537182,0.914797268830884,NA
"0610009B22Rik",434.175931565723,-0.184128845988113,0.098387887265191,0.0481900628179986,0.124577463169459
"0610009E02Rik",36.0507066942344,0.0891174126054389,0.155927385724057,0.520092106560454,0.680112491547344
"0610009L18Rik",55.1643506037749,-0.00720352685524274,0.153179190481847,0.952324290681385,0.97342947200381
"0610010K14Rik",84.0773282285679,-0.18992449684706,0.184905141992596,0.221255284717281,0.382475737838423
"0610012D04Rik",1.63849278288812,0.0290449691495693,0.3176323734964,0.797678789413247,0.884739731572064
"0610025J13Rik",2.35446337133032,-0.0441001449829721,0.306207961176223,0.744369128607104,0.849269936003756
"0610030E20Rik",1816.61840425211,0.0031971546829424,0.0765981492736813,0.958558766145599,0.976758718219586
"0610031O16Rik",0,NA,NA,NA,NA
"0610033M10Rik",0.154877032317209,-0.0169919462989329,0.338616723142832,0.805246220038469,NA
"0610038B21Rik",4.6460308189768,0.510096186209324,0.460445736715353,0.040124866593119,0.108509043618591
"0610039K10Rik",9.24434740321799,0.0991361296905721,0.271850578523569,0.556649620025344,0.709349105461775
"0610040B10Rik",55.890034070368,0.520332768032706,0.240422105686295,0.0073681915336724,0.02911773281342
"0610040F04Rik",18.527060029268,0.801656075774112,0.391509607282266,0.00397851368415801,0.017889486627685
"0610040J01Rik",2193.2090452726,-0.486078585740107,0.116235707862436,1.00401294370859e-05,0.000139948949640099
"0610043K17Rik",9.91918863671619,-0.0829827277845207,0.253867254035432,0.626850682549422,0.765471641917853
"0710001A04Rik",0.050958538881669,0.0123666810674213,0.338153909602378,0.914797706669122,NA
"1010001B22Rik",6.80223436161536,-0.282817505596218,0.339266304302706,0.144089011688025,0.28110423826003
"1100001I12Rik",0,NA,NA,NA,NA
"1110002E22Rik",53.5514375821508,-0.593577504527277,0.241991253849007,0.00279199509610663,0.0135481562038574
"1110002J07Rik",14.6638602006124,-0.248115282874912,0.215372145319561,0.148228534728181,0.286802638805119
"1110002L01Rik",266.871082927106,-0.606683989530653,0.147023305208904,7.40752562880249e-06,0.000108308905804186
"1110002O04Rik",1.12857719168815,0.0725052740810221,0.331143921264269,0.540962259252835,NA
"1110003F10Rik",25.4809974857053,-0.0269097949853133,0.178019533402477,0.858105852837969,0.921782111529861
"1110004F10Rik",1702.06810221035,0.0743811674025122,0.123132493155553,0.516004268829766,0.676999460912685
"1110006O24Rik",31.943041768166,0.281425318521513,0.288873513548297,0.132725832584,0.264837667484496
"1110008E08Rik",0.812742230112426,-0.0125159398191742,0.334443818196077,0.869650661891024,NA
"1110013H19Rik",28.359234243115,0.350828537886164,0.223954477432866,0.0477645019721558,0.123807789199168
"1110015O18Rik",3.59867253245429,-0.409886393589404,0.515524479086894,0.070550297563513,0.165795724060932
"1110017D15Rik",61.7855874462526,-0.319722456359154,0.244444628907523,0.0782483427382074,0.179033438021447
"1110018N20Rik",95.7609955967728,0.0115888528006351,0.207274161510034,0.945296756754155,0.969339901405759
"1110019B22Rik",0.0554353786206088,-0.014393081115529,0.338277469272536,0.897584542141486,NA
"1110019D14Rik",89.9600415937968,-0.94850203212545,0.201389411982759,2.80307140604662e-07,6.94006585202562e-06
"1110020A21Rik",18.466693512927,0.180350320497514,0.179539375879915,0.238126602297488,0.403201862511856
"1110025L11Rik",0,NA,NA,NA,NA
"1110025M09Rik",89.3428162754684,0.474753662163555,0.143597077735429,0.000312024234567782,0.00234557557390423
"1110028F11Rik",0.633297037476194,-0.047960396487052,0.330650955173501,0.625903957175465,NA
"1110028F18Rik",0.318425143740823,0.0180268845323157,0.338786844390949,0.617298350868369,NA
"1110032F04Rik",145.121907569511,-0.368644147842511,0.239693182309603,0.0471245082345601,0.122571082724665
"1110035H17Rik",18.6765211136036,0.358277431694593,0.250324469785361,0.0580521642027811,0.143054486734149
"1110038B12Rik",331.718442690119,0.353727433232097,0.100499831388486,0.0002209473972253,0.00177153417424154
"1110038F14Rik",541.070252387582,-0.28012173903888,0.0650587449814892,1.09957946125826e-05,0.000150301671429739
"1110046J04Rik",32.1776047664143,0.0358011787381389,0.17401659564058,0.810810903382178,0.892925110391157
"1110057P08Rik",0,NA,NA,NA,NA
"1110059E24Rik",505.187429981109,0.0451148521307213,0.0636045396803815,0.470007206382247,0.638258386838578
"1110059G10Rik",671.097270581061,-0.0114606253151579,0.095459694352487,0.894962058363576,0.941868379702598
"1110060G06Rik",0.821793391433603,0.00728175517390221,0.324719292457816,0.988807013496243,NA
"1110065P20Rik",548.053714687157,-0.137833612755266,0.099643523683661,0.149241306328739,0.288140625580983
"1190001M18Rik",1.71350805012747,0.206334828562207,0.388407078447375,0.134932124720633,0.268017041412812
"1190005I06Rik",29.5967627973267,0.365443699958801,0.197746949595494,0.0277534306400441,0.0817441712781876
"1190028D05Rik",0,NA,NA,NA,NA
"1200007C13Rik",3.76059613151433,1.89835669029138,0.619944306898953,0.000153931703535144,0.00132350580979718
"1300002E11Rik",326.424000915771,-0.498223026170543,0.131394540213418,4.56594597468377e-05,0.000488740871518081
"1300014J16Rik",19.9992830145058,-0.275497205399525,0.20243531022232,0.0968624504022747,0.209443018452449
"1500002C15Rik",45.2028676058758,-0.336599099833859,0.181387241539033,0.0302919100097046,0.0875383583059604
"1500002F19Rik",13.003601875096,0.41253986647585,0.312864987565625,0.0525816569931484,0.132978496708405
"1500004A13Rik",545.541021262989,0.015433808368802,0.107598847043572,0.88063559473837,0.934689645597909
"1500005C15Rik",7.29912961468031,-0.103617204900353,0.283239364246253,0.525969144653341,0.684827174088301
"1500009L16Rik",167.656877304579,-0.121833989806624,0.106831786777938,0.234359004784329,0.398735568987333
"1500011B03Rik",1424.70758957106,0.0564426220347382,0.0794804205615824,0.462460334115141,0.631997839977276
"1500012K07Rik",2.77747019251327,-0.0210682839392946,0.310228400169804,0.89093365137987,0.939923299571516
"1500015A07Rik",165.829341395782,0.221181359072588,0.222505437972851,0.191781584078961,0.345500553512812
"1500015L24Rik",12.4034180660415,-0.048388243715391,0.2748406343994,0.759500501698211,0.859449143467924
